
Test points:               Results(Best 3 Prediction points):         error(3)(meters):          error(2)(meters):  
	1								2,11,19 							2.04						1.49
	2								3,7,14								2.08						1.83
	
	3								4,13,6								0.62						0.36
	4								5,6,19								2.26						1.56	
	
	5								6,4,19								0.64						1.02		
	6								7,4,9								3.82						3.97
	
	7								8,2,10								1.77						1.66
	8								9,19,11								2.73						2.76
	
	9								10,11,19							0.96						0.97
	10								11,15,7								1.48						1.50
	
	11								12,16,1								0.98						0.31
	12								7,13,5								4.99						5.09
	
	13								9,14,18								2.01						1.68
	14								15,8,11								0.93						0.63
	
	15								16,11,10							1.89						1.60
	16								17,1,11								0.7							0.72
	
	17								18,10,15							1.36						1.67
	18								19,13,10							1.57						1.76
	
	19								8,4,6								4.81						4.95

																	mean_error=1.98 (m)				1.87(m)
	without  points 12,19														1.63				1.49
